	shannon	chao1	observed_otus	PD_whole_tree	simpson	simpson_e
1	6.96559730986	199.428571429	198.0	22.5118967855	0.98872780536	0.448049844054
10	5.11187531366	102.272727273	102.0	10.7208234485	0.937322226617	0.156417834258
101	6.89717331174	242.428571429	241.0	26.2556137715	0.983725595507	0.254963405588
102	6.720661962	140.0	140.0	13.9103334405	0.98841395424	0.616505172781
104	4.23293194659	86.0	83.0	13.3966004545	0.907148807263	0.129758082971
105	7.28762169431	245.4375	242.0	21.0264790865	0.991535242967	0.488168932552
106	7.24995800853	269.777777778	269.0	25.2618852355	0.990159193768	0.377760930491
107	7.55719991316	269.0	268.0	27.4624963795	0.992908494608	0.526170830768
108	6.95700714219	188.0	188.0	19.6469181295	0.988980285035	0.482693876679
109	7.36743214185	250.5	250.0	24.9525651395	0.991736754619	0.484071308037
11	6.55581373387	145.5	144.0	15.1221904425	0.986241125346	0.504724740872
110	6.85202890977	157.0	157.0	18.8137943585	0.988891462546	0.573381219431
112	7.04009406176	275.176470588	264.0	22.6840539825	0.987472226034	0.302358487474
113	7.03548119772	213.666666667	209.0	22.8736853975	0.989572405825	0.458848792431
115	7.25651977476	283.571428571	278.0	25.7122339655	0.989638760421	0.347171038245
117	6.85608195598	177.428571429	176.0	16.8978623245	0.988584343052	0.497721524705
119	6.61540727738	236.714285714	232.0	23.4093487425	0.979002529561	0.205279242573
122	7.49768561877	309.565217391	305.0	30.2275273385	0.992016423069	0.410679142035
123	7.34652012667	281.791666667	278.0	28.4243359155	0.991214922493	0.40945823179
124	6.82622265048	175.0	175.0	20.2674741625	0.988023170256	0.477111709546
125	6.087842337	112.0	112.0	12.5742245765	0.976606595358	0.381670456496
127	7.30282524222	264.0	251.0	21.0351850635	0.990694489146	0.428140250168
128	5.92269214503	121.0	121.0	13.9997697885	0.973586455864	0.312887311427
129	6.17418406755	115.0	115.0	18.5250187705	0.980884150077	0.454892260031
13	4.67763039539	46.0	46.0	6.4781369915	0.951096269285	0.444529080234
130	6.63990649432	183.1	181.0	20.2538563225	0.985053474242	0.36964187986
131	8.01479199817	383.391304348	380.0	32.8872287145	0.994672180538	0.493931704389
132	7.57280953479	318.043478261	305.0	26.6571676715	0.993000027232	0.468385897129
133	7.16952223132	251.5	245.0	25.9177572195	0.990477153802	0.428614782628
134	7.50889389928	296.894736842	295.0	29.0295003055	0.992249232409	0.437354167652
135	7.17930803163	236.615384615	235.0	23.4489211945	0.990466750381	0.446366068116
136	7.13714371472	226.1	224.0	21.7333698795	0.990596836862	0.474764252045
137	6.61886246352	167.1	165.0	17.1614253835	0.986162006888	0.437968570416
138	6.89091937315	202.875	201.0	17.0136074265	0.987602662209	0.401305865995
14	4.79776800389	59.75	59.0	6.7985593365	0.949886237711	0.338213531939
141	4.68626234603	65.0	65.0	9.2213546015	0.943370373739	0.27167079143
142	5.3533434596	62.0	62.0	6.6844863175	0.971300238418	0.561991855289
143	6.77320942042	150.0	150.0	15.0317378725	0.988469905415	0.578197049253
144	4.88526994813	56.0	56.0	8.5748159825	0.956551159109	0.410992387625
145	5.47610238334	130.833333333	130.0	15.3704507905	0.966144337682	0.227208896996
146	5.8042034091	93.0	93.0	13.9603041055	0.976282253393	0.453360445677
147	5.95527486267	114.0	114.0	18.3085286075	0.978442231002	0.406903414984
148	6.83525176393	184.0	183.0	21.3699421335	0.98819032439	0.4627121908
149	6.58253637281	187.0	186.0	18.1316193815	0.984884746482	0.355689971025
15	4.97553898597	42.0	42.0	4.7523784575	0.962664786591	0.637722986835
150	6.37507909849	178.111111111	177.0	32.7979393605	0.979137336923	0.27080519362
152	5.88837447883	98.5	97.0	8.7785046955	0.977288500298	0.453923276134
153	5.37187925299	72.75	72.0	3.9324196995	0.969702482689	0.458416732512
154	5.20428675524	94.75	94.0	11.1488225235	0.962487229035	0.283591363653
155	4.11266428276	23.0	23.0	4.1590196885	0.936603953414	0.685819750771
157	7.04986557657	218.615384615	217.0	20.4603062485	0.989542419492	0.440665498819
158	5.17689282812	86.4285714286	86.0	4.4135886005	0.955208593191	0.259601289738
