L3	1	10	101	102	104	105	106	107	108	109	11	110	112	113	115	117	119	122	123	124	125	127	128	129	13	130	131	132	133	134	135	136	137	138	14	141	142	143	144	145	146	147	148	149	15	150	152	153	154	155	157	158	16	160	161	162	18	21	27	28	29	30	31	32	33	34	35	36	37	38	39	42	45	46	5	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	66	67	7	70	71	72	73	74	75	77	78	79	8	82	83	84	85	86	87	88	89	9	90	92	99
ABC transporters	689606.27	678871.24	614672.46	739624.51	350960.26	647350.08	673202.3	693912.49	836484.36	708778.78	719766.98	788010.5	692543.49	732864.72	706388.83	676961.43	746076.5	701442.62	642054.32	910628.26	1232955.44	720087.47	898772.79	751442.46	325916.79	783948.54	582029.51	614098.22	656894.29	610443.72	647710.51	1010482.09	961634.5	1014908.04	199952.06	646850.3	433898.8	684650.24	251764.34	927837.48	426248.04	417421.58	654501.03	588231.54	157117.6	486463.02	1189857.2	538942.13	882257.95	960204.82	759508.17	1015048.5	728514.64	1018409.14	679227.71	268597.84	879747.24	717818.4	592707.17	553540.65	661425	565189.46	415646.21	452182.83	726284.32	592898.28	805393.73	646535.31	568012.51	482276.89	737634.98	634526.87	645181.91	889744.69	853638.1	576945.44	657673.2	851467.47	963597.77	894494.2	662031.05	629145.399999999	588080.67	522226.3	742197.8	573629.68	714415.01	446120.71	665035.15	642494.99	226655.56	853165.49	688148.69	971399.66	718571.52	758696.21	505495.66	561438.37	515826.01	494886.82	739451.38	630793.29	696461.86	938200.8	706831.61	609248.17	640713.09	699671.93	500765.18	531927.2	523829.09	845865.95	678170.29	674715.02	928449.27
Adipocytokine signaling pathway	21005.85	19474.45	21998.73	24016.26	4866.49	23893.44	24075.11	25341.78	28401.22	24629.11	24264.52	25869.87	26381.84	21610.88	26213.54	23879.88	23651.4	22814.21	23683.43	27803.82	26013.11	27412.22	21172.09	19877.22	4349.09	23889.53	23555.25	25467.64	23249.33	24130.43	23822.5	24019.2	24741.68	20540.48	2450.96	16788.28	6075.89	20255.87	3311.02	20447.84	12115.51	9549.54	22384.84	16921.89	106.32	12409.11	22714.85	10668.62	18959.59	20176.75	18450.37	19904.95	24795.52	19763.36	23342.75	4718.89	32712.34	24680.5	24947.94	23424.26	24914.97	23719.26	9435.58	9409.69	24078.92	20791.76	20192.27	16807.86	15094.89	14662.15	24736.91	20745.81	24392.69	21031.18	16364.22	30457.63	24587.51	23564.81	23836.16	24695.82	24661.18	24166.79	25290.87	21294.53	25492.27	23905.66	26672.56	17825.89	23107.84	23463.99	3352.62	19628.8	23083.86	21463.09	23096.95	25068.95	20742.21	20446.9	16444.62	21391.12	21341.41	20597.5	21905.57	19986.58	15603.79	23011.21	27733.79	25032.05	23754.75	18022.22	24830.37	20811.91	25742.15	18486.16	26201.84
African trypanosomiasis	1671.37	1097.8	3375.22	3153.52	624.14	3191.81	2571.36	3385.86	4145.53	3154.29	3345.29	2222.11	3614.57	3890.52	3102.03	4565.06	2813.95	3481.89	2358.13	4055.72	1588.71	3737.29	1438.53	3638.73	233.73	2074.04	2057.19	1651.98	2828.22	2093.72	2519.88	1873.96	6209.33	3550.23	517.22	5398.56	2458.64	2273.12	408.99	7947.5	1661.29	520.83	2824.61	2299.22	13.78	1651.55	3779.09	4637.53	7604.17	9902.13	3849	2733.15	2088.65	8287.79	4525.07	1953.35	8146.07	3285.78	2205.86	2173.85	3226.37	1844.04	1944.63	2618.62	3173.96	3889.76	364.12	545.97	472.06	914.59	3563.4	4780.05	3644.45	7781.38	1049.83	1500.37	3579.49	5013.91	4008.55	1829.48	3585.59	4313.36	2027.44	5456.33	2037.67	1669.47	3253.53	1969.95	3840.98	2160.84	776.79	7714.07	2282.65	8782.22	2639.08	2369.6	1140.19	1735.28	1238.11	2243.57	6274.45	4036.17	3504.68	8749.86	3840.07	3758.26	2686.72	3986.21	1467.45	832.25	1489.16	1745.43	3417.4	1604.28	1455.12
Alanine, aspartate and glutamate metabolism	167298.41	187346.34	186264.66	171075.65	146009.62	188552.54	190282.49	186960.09	193968.69	190255.12	186410.91	168897.8	184311.45	203950.29	183679.51	191143.78	191573.65	185999.92	182252.52	194486.48	314615.84	191778.58	245381.33	175761.63	109715.89	177152.36	185115.72	187906.13	187698.69	186676.22	186633.86	204569.69	203790.92	244324	58149.6	254426.42	145019.38	149859.62	69759.91	274121.76	151129.24	141351.48	176214.93	155640.59	48926.34	166239.24	334325.09	170521.06	276547.81	318683.31	191936.13	273656.45	184289.63	288140.66	186690.98	86149.11	237499.87	189058.1	187512.24	183820.95	190238.38	184164.23	117217.66	134221.61	192653.6	169246.8	196579.47	190269.71	178532.86	163819.43	182060.12	188142.06	185313.43	273770.16	233921.96	201775.3	179851.36	232840.1	277327.29	233643.03	187964.8	185512.95	189895.19	197602.46	177081.15	182971.63	188762.61	151402.83	190838.2	178106.98	62326.08	270913.57	184886.27	309118.84	178808.43	189267.13	172151.91	177531.34	167821.67	176325.43	236877.05	175322.5	193098.35	302237.33	197788.31	178045.45	194922.99	189175.74	188061.22	192579.89	187950.72	223073.2	186390.06	180091.97	216621.97
Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alpha-Linolenic acid metabolism	7597.27	12081.88	9075.75	8572.31	2137.92	9341.15	10295.55	8679.48	10365.28	10115.91	9996.09	8022.22	12005.25	14680.32	11631.06	11236.96	10964.35	8172.3	9086.82	10557.48	27161.93	12227.92	20647.4	12983.18	979.69	8386.81	8803.51	8477.93	8229.39	8410.22	7715.53	9264.69	10505.38	17919.93	2441.26	24679.61	10491.38	6913.28	1890.72	30663.46	3925.87	1862.67	7365.67	9093.04	23.62	6361.38	33541.9	18127.5	32309.75	39661.12	13453.92	22895.42	8356.25000000001	30223.73	12608.33	7295.8	23630.49	10786.82	8485.67	8437.88	8930.05	7716.42	8883.84	10274.48	11989.78	9768.99	1276.49	810.09	389.03	1253.6	11992.58	10277.11	10598.19	27687.92	21549.14	8706.64	12059.46	17753.45	22556.38	15761.06	11440.02	12349.96	8637.25	10256.9	9813.92	7055.76	12343.56	3196.94	11298.67	7585.39	2653.83	30749.98	9743.51	36719.49	6786.53	6499.3	8241.38	8150.87	6204.89	8221.03	20438.43	11277.09	9824.48	36469.19	15542.48	11509.17	9163.91	12150.77	7752.83	3380.04	7873.64	7518.99	12015.77	6151.52000000001	12842.13
Alzheimer's disease	28303.73	27480.47	28719.48	31528.72	14068.86	31789.47	30109.05	30606.35	36662.9	34118.94	33071.61	34065.49	22345.77	33283.61	20853.82	30913.58	32783.61	31328.57	27195.34	36939.84	47678.55	24122.52	36722.6	29612.93	9466.29	32578.22	25590.38	26477.2	28800.59	26701.05	28536.01	53407.08	44159.44	40091.92	6002.69	33695.4	16277.17	26969.79	7043.32	44242.16	17658.39	13730.63	36298.59	26832.62	2488.45	22128.98	48465.41	25320.36	43619.72	49935.76	31426.29	33281.12	31784.71	44188.09	23703.5	12487.61	41922.83	23833.35	28186.73	28748.14	31826.86	26928.5	17025.14	17862.1	24199.26	20707.01	29467.93	23517.64	20183.52	17635.69	22706.35	30555.09	22856.29	41819.72	35205.24	24476.42	20899.72	41685.51	42545.45	39696.43	24162.04	20221.89	29510.93	26985.64	32036.58	26992.28	22906.96	17168.13	22982.65	28114.89	6736.37	42235.73	31337.81	48865.55	39478.39	38872.27	18063.7	24726.52	20027.33	25106.22	37947.56	21996.26	29337.67	47307.14	24459.51	20850.41	29088.76	22220.27	26584.81	17978.54	27599.1	35150.48	22268.43	30250.5	41423.17
Amino acid metabolism	20739.18	24180.39	22678.08	21196.26	13867.44	25700.7	24140.6	22629.41	21554.36	21218.02	19724.81	17900.77	22951.12	28470.19	23857.32	22388.97	25445.53	25213.94	24388.76	26510.74	39394.12	22810.24	34584.1	22093.47	20009.52	17850.93	23274.15	23721.83	24030.46	22967.26	23774.84	24079.28	40264.66	35437.74	12150.65	36211.8	28039.13	20334.33	13932.85	48104.65	13290.01	10533.12	22383.31	18667.14	13313.89	18678.35	48045.56	33407.54	50052.97	59541.16	28182.94	41058.46	21616.99	48014.89	25700.45	17167.05	33275.33	24108.63	24906.38	23400.3	25917.59	23515.92	20959.61	24052.64	24429.38	22456.5	10697.39	12938.63	11508.2	21477.62	24792.82	23415.49	22957.15	47392.32	32289.94	23528.78	23355.09	34759.04	38691.49	33982.68	24143.1	24635.91	23647.98	24099.97	19701.85	21720.43	24917.26	15868.8	23715.57	22661.64	13258.92	48128.34	21889.84	56765.93	24300.56	23667.73	21204.8	22693.48	18830.51	22350.42	34846.98	24338.06	23523.56	55362.75	35649.78	23533.26	24161.13	24276	23988.32	15861.49	23279.57	19667.21	23439.35	24965.51	30225.17
Amino acid related enzymes	272649.63	285854.54	303396.78	282119.46	239381.66	307228.58	311998.38	312400.38	315473.65	309962.44	301197.88	283290.13	286269.15	314976.09	288869.21	303015.47	311950.77	305922.87	295917.97	314744.2	441465.46	298208.53	348163.93	261749.92	169042.08	293351.23	307345.88	312286.71	310669.78	309493.9	307509.17	332874.2	343709.6	361619.7	88894.28	359042.02	202712.21	248038.68	108134.03	367178.56	257413.46	239740.83	300514.54	256195.97	75723.86	273540.21	448272.77	227464.9	363510.65	409396.67	282555.18	385113.03	310933.21	387093.13	287704.96	123093.33	359886.14	297239.25	310593.25	308064.7	311612.79	308212.61	173852.25	195335.15	295455.52	265496.2	331868.72	311910.98	295375.57	267588.49	284073.91	297587.94	289506.42	376923.42	322903.01	326827.59	276931.49	345847.91	391881.9	365689.6	298188.05	290934.889999999	312966.16	315793.79	297724.41	304135.34	293316.87	243789.07	297396	295893.34	94135.34	362457.86	306897.99	404960.47	302029.74	310147.21	288093.13	295041.14	285366.3	295805.59	339208.57	274905.88	308735.18	392832.33	285237.56	279134.11	318493.93	293392.93	309676.74	301353.85	316830.28	346417.91	291015.33	301273.3	332517.19
