	1	10	101	102	104	105	106	107	108	109	11	110	112	113	115	117	119	122	123	124	125	127	128	129	13	130	131	132	133	134	135	136	137	138	14	141	142	143	144	145	146	147	148	149	15	150	152	153	154	155	157	158	16	160	161	162	18	21	27	28	29	30	31	32	33	34	35	36	37	38	39	42	45	46	5	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	66	67	7	70	71	72	73	74	75	77	78	79	8	82	83	84	85	86	87	88	89	9	90	92	99
Edaphobacter	0	0	0.004454831	0	0	0	0	0.002877106	0.005176997	0.001202465	0.003848347	0.002162454	0	0	0	0.02256933	0.002169378	0	0.001221399	0.001340354	0	0.002869007	0	0	0.000658436	0.004206946	0.003613083	0	0	0	0	0.000447107	0	0.00538943	0	0	0	0	0	0.000725887	0	0.000845002	0	0	0	0	0	0	0.000428412	0	0	0	0	0	0.003935816	0	0	0	0	0	0	0	0	0	0.001525348	0	0	0	0	0	0	0.007166678	0	0.001706679	0	0	0	0.003482249	0.004837595	0	0	0	0	0.00129987	0	0	0	0.001789824	0.003415423	0	0	0	0.001920575	0	0	0	0	0	0	0.001562297	0.002701283	0	0	0	0	0	0.004834343	0	0	0	0.000396786	0	0.003078971	0	0
Candidatus Microthrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006438344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	0	0	0.000847458	0	0	0	0.000753528	0	0	0.002779361	0	0	0	0.000900975	0.002515057	0	0	0	0.006606032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000832639	0	0.000243942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000722876	0	0	0	0	0	0	0	0	0	0.000674423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010855919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001349875	0	0	0	0	0	0
Arcanobacterium	0.000958038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002010969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001973001	0	0	0	0	0	0	0.004288499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002833638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trueperella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000908265	0	0	0.000900739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000609809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001597104	0	0	0	0	0	0	0	0	0	0	0.001913955	0	0
Georgenia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003269755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0.001838235	0	0	0	0	0	0	0	0	0.003020008	0	0	0	0	0.003486308	0.000631668	0	0.001049869	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008826584	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002161773	0	0	0	0	0	0	0	0.00194274	0	0	0	0	0	0	0.000548446	0.003413358	0	0	0.000696925	0	0.007207029	0	0	0	0	0	0	0	0.001969058	0	0.001258314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003441683	0	0	0	0	0.001414663	0	0
Corynebacterium	0.012933512	0	0.00226393	0.014560863	0	0	0	0.00054802	0.002098783	0.002630392	0.003777081	0.010406812	0.015770124	0.019386233	0.006962077	0.001919386	0	0.001279693	0	0.008520823	0.00255295	0.011702529	0	0.001525786	0	0.005460079	0.002979209	0	0	0	0	0	0	0.00234701	0.00042337	0	0	0.008781916	0	0	0	0	0.003101604	0	0	0	0	0	0	0	0.006393762	0	0.003811527	0.004468791	0.002623877	0	0	0.005404432	0	0	0	0	0	0.000721096	0.00367878	0.008691207	0	0	0	0	0.01068999	0.012772298	0.002650823	0.004209808	0	0	0.001045387	0.006709699	0	0.01317165	0.001892915	0.006286798	0	0	0.009600473	0.00833009	0.002531646	0.210048581	0.003595182	0	0	0.001871157	0.001548851	0	0	0	0	0.000719166	0	0.002017966	0.002551212	0.002022998	0.008765401	0.000469043	0	0.00433974	0.005285549	0.006692161	0.00257119	0	0	0	0.009486561	0	0.001068376
