L3	1	10	101	102	104	105	106	107	108	109	11	110	112	113	115	117	119	122	123	124	125	127	128	129	13	130	131	132	133	134	135	136	137	138	14	141	142	143	144	145	146	147	148	149	15	150	152	153	154	155	157	158	16	160	161	162	18	21	27	28	29	30	31	32	33	34	35	36	37	38	39	42	45	46	5	51	52	53	54	55	56	57	58	59	6	60	61	62	63	64	66	67	7	70	71	72	73	74	75	77	78	79	8	82	83	84	85	86	87	88	89	9	90	92	99
Other glycan degradation	13240.87	21304.68	13572.81	12579.92	9569.49	3693.95	5642.53	13086.45	12776.32	9816.52	11364.71	10381.37	13044.93	22263.23	14343.78	14317.66	10141.44	6951.32	6367.31	16466.5	74543.74	12958.64	44611.11	27229.02	15607.36	10362.69	4502.2	3273.35	2991.55	4191.41	3231.5	8109.47	5323.92	44872.98	4939.42	31973.49	19447.96	13603.51	5493.93	45587.47	9557.56	12738.71	8063.84	17488.95	3470.84	12992.17	83972.97	29324.17	50320.58	59363.32	22848.23	53853.62	10574.73	48290.2	15790.92	11049.39	41278.3	18665.86	2858.42	3037.01	3465.53	3354.99	14059.77	16232.71	20818.81	13634.52	470.94	5629.88	12304.9	15450.38	12357.91	13226.77	20098.23	42937.27	56418.12	8554.23	15702.11	25912.14	46184.63	24021.62	12222.82	15116.5	5586.11	21379.16	9942.44	6390.66	17926.92	24288.95	17630.79	8173.76	6332.41	46428.27	9262.58	54300.4	6556.15	8559.5	2317.58	10424.35	5805.03	6686.29	35642.89	12203.27	23666.57	55941.96	23438.13	14648.07	12151.9	14695.67	8925.04	14363.81	5334.14	9145.79	14451.44	3557.71	9699.37
Protein digestion and absorption	1035.28	367.76	1998.05	2048.81	367.01	1597.3	1440.89	2864.01	2940.99	1894.01	2259.48	1127.74	1349.66	1190.72	1288.13	1626.78	1142.55	1461.54	1515.38	1230.44	904.61	1402.94	1094.04	3075.06	869.13	1283.58	2007.82	1699.9	1032.58	1705.3	1550.38	978.37	599.2	3191.76	75.14	302.2	21.08	1836.35	109.59	526.76	1441.54	807.67	906.82	1478.76	27.56	581.92	441.88	175.7	76.76	10.52	1140.14	547.88	1943.86	608.46	1400.43	498.23	7063.84	1670.52	1703.77	1913.7	1774.13	1584.72	668	468.79	1477	2030.36	76.9	514.2	1146.65	1916.73	1481.09	2211.91	2304.19	729.05	857.83	2826.72	1504.12	1617.56	1375.74	621.07	1853.9	2617.79	2561.58	6579.87	1701.05	2056.53	1474.16	4300.64	1736.19	1472.33	39.13	570.59	2045.07	42.16	1361.86	2196.61	879.97	1290.21	678.24	1955.14	2003.19	1127.55	3838.08	22.51	144.13	1784.65	2574.13	1500.03	3169.6	1421.58	3026.28	648.44	1529.79	203.09	1054.79
Alanine, aspartate and glutamate metabolism	167298.41	187346.34	186264.66	171075.65	146009.62	188552.54	190282.49	186960.09	193968.69	190255.12	186410.91	168897.8	184311.45	203950.29	183679.51	191143.78	191573.65	185999.92	182252.52	194486.48	314615.84	191778.58	245381.33	175761.63	109715.89	177152.36	185115.72	187906.13	187698.69	186676.22	186633.86	204569.69	203790.92	244324	58149.6	254426.42	145019.38	149859.62	69759.91	274121.76	151129.24	141351.48	176214.93	155640.59	48926.34	166239.24	334325.09	170521.06	276547.81	318683.31	191936.13	273656.45	184289.63	288140.66	186690.98	86149.11	237499.87	189058.1	187512.24	183820.95	190238.38	184164.23	117217.66	134221.61	192653.6	169246.8	196579.47	190269.71	178532.86	163819.43	182060.12	188142.06	185313.43	273770.16	233921.96	201775.3	179851.36	232840.1	277327.29	233643.03	187964.8	185512.95	189895.19	197602.46	177081.15	182971.63	188762.61	151402.83	190838.2	178106.98	62326.08	270913.57	184886.27	309118.84	178808.43	189267.13	172151.91	177531.34	167821.67	176325.43	236877.05	175322.5	193098.35	302237.33	197788.31	178045.45	194922.99	189175.74	188061.22	192579.89	187950.72	223073.2	186390.06	180091.97	216621.97
Arginine and proline metabolism	216312.07	213308.82	234317.62	233680.71	116117.56	227433.93	231660.36	239904.46	263111.34	249006.51	248507.27	223641.11	231256.63	234865.98	225179.09	244748.43	240139.48	231247.04	223259.79	262476.85	346559.72	236647.89	277877.76	222543.05	132600	221361.68	216679.25	218766.99	224383.6	216703.56	221429.75	305340.98	277118.3	290646.78	61265.87	235632.14	141535.52	199974.3	76997.79	291887.07	150769.39	128561.84	230392.97	182443.06	51351.38	167198.92	345114.37	173244.46	284596.45	319594.54	227447.02	269103.15	232393.06	326093.48	234616.37	93599.14	281985.25	233745.43	220669.3	210339.54	232117.52	208122.32	126840.14	141395.24	234216.55	211680.27	192928.09	183575.38	167113.77	163324.33	235757.76	242749.24	227243.35	286341.86	250811.13	219696.73	220466.28	283485.48	317173.49	281397.66	235479.33	222329.9	227324.3	228509.83	234406.91	215721.33	230996.45	172501.08	233050.62	221159.83	66508.24	282042.94	234115.16	316357.2	248303.5	258369.2	188580.65	204772.37	175893	206953.39	266636.18	216870.32	234654.19	306786.95	192353.78	213990.88	236579.86	235051.48	213940.47	199145.01	216103.28	223886.81	232295.93	221206.88	263568.79
Cysteine and methionine metabolism	156722.67	164696.44	172977.74	168328.2	136876.15	156719.7	163093.99	175342.34	190174.84	177286.86	180704.44	159755.11	178841.55	185386.66	175878.97	172696.43	176168.89	166495.13	156365.99	187749.59	276157.81	185638.77	209726.86	168491.1	110783.13	165948.57	154015.07	155090.66	158963.37	155894.68	155792.19	185138.53	181117.58	227836.93	56879.87	187461.08	124089.1	148904.84	68796.72	237327.99	142883.4	133075.45	155503.63	150034.83	49513.46	152347.27	284117.2	147386.01	236455.3	269504.09	173888.97	248496.15	172060.37	214598.53	179757.39	81021.49	238699.26	180507.38	149695.52	145699.81	156144.6	150445.72	109071.6	124476.37	183556.93	166009.14	159813.15	165716.84	151325.16	142821.38	178747.89	171804.2	176458	243201.04	203831.98	158446.44	171108.47	206391.01	235291.15	209042.43	178794.11	179184.88	161020.84	181606.64	168572.26	157083.54	182817.33	141166.47	184119.29	155025.22	59527.91	235371.34	163217.58	262621.24	151430.54	160467.09	141322.67	151238.7	147366.88	147988.93	213968.32	171603.82	177704.11	256254.2	188143.5	173166.18	171765.65	183926.69	152047.38	173841.81	155512.25	171095.87	177416.84	157629.6	202338.53
Glycine, serine and threonine metabolism	184783.18	190037.64	202542.14	197291.17	119859.03	200164.81	204186.19	206134.07	226715.79	213203.57	209501.05	199119.94	186530.58	202019.81	187360.3	210981.49	206522.78	200525.51	193668.73	226066.11	303045.85	197850.6	234299.04	196053.75	82089.59	191456.14	192172.31	191022.72	198833.58	191096.79	195184.28	263045.01	236929.59	254544.89	46076.54	233316.37	114236.65	170207.95	56311.73	246711.42	148949.19	127480.66	205116.75	165226.78	29415.41	157160.85	306885.73	146405.72	240913.31	269674.56	190992.7	234394.83	203212.39	282139.74	191599.89	74345.14	268748.33	196960.29	194076.92	184090.3	205029.53	182359.89	108666.34	113999.62	196946.33	172733.07	171435.16	169454.26	153592.02	145666.34	195196.89	204174.1	188311.04	241171.78	219041.42	182353.08	179997.29	241670.43	263585.32	246350.12	192580.13	185996.16	198368.53	199848.41	201203.55	188926.1	193238.98	150487.31	190177.33	193889.42	52332.62	238337.05	203127.47	266812.98	229286.39	236874.46	178466.47	187612.58	166808.33	181361.64	229355.68	176712.58	207326.46	259618.92	154503.38	180329.95	204417.39	193526.54	183824.89	175384.4	187625.46	201265.29	189667.27	198669.22	252252.51
Histidine metabolism	102019.02	89369.73	112625.77	113813.03	22622.77	118393.04	118751.78	123586.8	126700.33	123996.99	121254.5	109034.48	104329.29	108954.91	103207.48	116302.03	119109.98	117961.91	113765.62	127177.41	128905.27	110345.27	97166.87	98057.91	51150.37	107308.65	114303.79	114915.88	117825.75	115099.5	117282.24	135443.17	133856.5	132529	34598.32	103232.68	72188.17	101948.63	43786.44	122586.21	73529.32	61026.36	106618.83	83881.91	31279.27	69895.45	126538.82	75278.72	117858.42	130122.98	101614.63	93227.89	118914.08	116604.71	104285.6	45492.87	123537.18	108610.57	115581.29	110843.89	121939.27	110239.84	55410.93	64937.02	103337.15	99005.91	91643.96	98537.24	87232.23	90580.69	107058.95	117807.05	106472.75	121081.45	88811.17	109124.1	100527.56	125428.84	123410.68	108638.21	109129.26	106403.16	114992.8	127662.54	118882.58	111995.19	104841.46	88267.7	105594.19	110795.27	37320.45	119360.51	118396.66	126709.55	114131.75	118106.77	104292.51	104686.05	90521.62	108192.15	119468.8	97680.7	119238.56	123113.41	79611.32	100433.63	117302.18	107063.09	111272.15	106713.67	113495.68	98721.44	104556.42	111079.65	129438.16
Lysine degradation	62610.78	45254.79	73244.37	84468.74	23444.23	82640.72	85068.01	86209.62	101903.38	95136.36	93675.8	86678.5	69720.57	71629.68	67482.11	89179.06	81872.44	83878.03	77989.26	89419.79	79649.05	76139.83	48456.34	67913.41	20239.06	70429.47	77135.23	74009.48	81018.78	72261.67	77061.63	109173.43	105860.61	80266.87	12473.84	60243.71	27280.01	70162.31	16904.84	71578.59	34771.52	23807.96	79535.76	49281.77	6593.66	38725.94	68405.26	35703.13	65390.15	70630.21	59694.68	44837.57	83274.86	64329.14	68356.93	18615.81	82390.35	68291	80066.8	75694.2	87111.82	69303.53	25703.6	30923.26	65377.7	64330.66	18116.41	22705.37	17754.23	22836.29	71897.68	86290.06	65050.33	68523.09	39836.92	74858.12	63475.6	82480.8	75460.26	53792.29	73087.0000000001	70128.99	80042.22	85164.75	84885.28	74907.12	66334.55	45255.95	69237.15	77520.88	14570.94	66997.24	80414.81	69816.12	90056.4	95512.6	66598.58	64641.42	53101.62	72370.83	75040.9200000001	64928.21	80153.92	65914.26	39934.12	66213.33	91576.25	70121.57	73804.23	35711.6	75409.94	24450	69861.52	69351.06	88057.17
Phenylalanine metabolism	73806.9	56749.95	81139.2	108400.2	22945.73	61322.96	75983.24	92915.32	123955.93	102967.08	113498.78	99595.04	73510.18	78233.1	71157.96	92075.9	83366.23	72478.67	64878.5	110264.05	112684.02	77847.52	54423.3	68679.93	34423.92	98973.67	60962.85	60324.92	61812.87	59490.3	60030.4	109722.2	103808.54	100134.42	15865.82	50471.13	22517.34	87755.72	21003.24	59372.2	34536.01	28243.52	66734.55	55546.67	8630.37	38838.59	85713.99	28420.89	53622.03	51233.11	68244.34	59712.38	91232.56	68396.44	70708.56	16530.92	44301.11	73224.94	58750.61	56975.55	64916.4	55153.32	24940.89	30270.49	71690.71	68485.1	72836.7	49300.33	44658.97	41915.94	76099.25	85529.62	69815.15	59851.73	60611.81	57679.17	66422.71	77543.6	84817.21	56503.97	73878.99	71241.1399999999	64337.05	79417.02	103423.92	64252.23	68966.61	52975.74	69915.74	72836.33	18004.11	58323.35	82051.15	53812.03	73814.87	78279.72	42718.57	49953.99	37723.39	55196.91	73258.28	69440.86	90508.51	50672.73	36504.75	69123.87	83385.39	70502.54	55663.44	47476.7	61639.2	69805.33	72261.32	56670.7	86672.94
Tyrosine metabolism	73633.34	67407.31	85631.1	98276.19	46847.93	57970.46	73852.16	86350.38	119980.24	102334.88	117380.56	93685.87	85900.45	96973.97	81476.05	102339.79	84242.05	69299.52	62113.35	105810.78	137451.37	89196.24	82836.66	96198.41	36487.17	96151.43	53912.48	52354.18	55580.99	52675.96	54215.63	106766.62	111716.34	114360.49	21998.93	102332.62	48672.55	84501.84	25165.27	124182.12	36751.78	34635.01	66127.16	71515.13	11808.82	55221.97	136336.6	71745.98	122365.89	140017.68	87929.08	103656.46	83106.55	140789.72	88280.87	35001.51	128762.83	83150.07	50072.24	49890.67	58922.68	46383.44	45943.01	54247.99	83101.11	78031.68	66632.4	44536.31	40230.32	37285.88	85236.52	94319.12	80269.8	118807.97	85833.96	49794.5	80665.53	103315.17	111828.6	72546.56	83604.04	84846.0499999999	60959.45	89115.97	97562.82	55731.1	82409.38	50771.71	84299.33	65671.35	25017.22	122531.4	78303.86	134223.75	68083.43	70292.73	34900.22	48427.8	36704.03	54433.01	110721.04	84495.47	88794.09	129997.9	74568.63	82502.12	82258.93	84768.66	50041.27	41898.76	49739.36	76592.94	81573.72	52657.19	82320.53
